"ip","cntMalDom","cntDom","sumIPDomMalEng","maxIPDomMalEng","minIPDomMalEng","avgIPDomMalEng","maxIPDomCisco","minIPDomCisco","avgIPDomCisco","sumIPMalDom","maxIPMalDom","avgIPMalDom","minIPMalDom","mMaxIPMalDom"
"180.163.56.219","1","1","1.0","1.0","1.0","1.0","0.9611780000000001","0.9611780000000001","0.9611780000000001","1.0","1.0","1.0","1.0","1.0"
"45.60.12.165","","1","0","","","","0.0","0.0","0.0","0","","","",""
"23.221.72.51","","1","0","","","","0.978719","0.978719","0.978719","0","","","",""
"172.217.2.116","","1","0","","","","0.0","0.0","0.0","0","","","",""
"69.28.157.216","","1","0","","","","0.990662","0.990662","0.990662","0","","","",""
"74.125.155.136","","1","0","","","","0.383701","0.383701","0.383701","0","","","",""
"52.52.60.36","","1","0","","","","0.0","0.0","0.0","0","","","",""
"205.220.232.141","","1","0","","","","0.0","0.0","0.0","0","","","",""
"152.195.53.31","","1","0","","","","0.99616","0.99616","0.99616","0","","","",""
"3.133.107.204","","1","0","","","","0.795711","0.795711","0.795711","0","","","",""
"162.244.87.58","","1","0","","","","0.831702","0.831702","0.831702","0","","","",""
"110.43.89.12","","1","0","","","","0.0","0.0","0.0","0","","","",""
"35.241.26.54","1","1","1.0","1.0","1.0","1.0","0.989822","0.989822","0.989822","1.0","1.0","1.0","1.0","1.0"
"47.246.44.229","1","1","1.0","1.0","1.0","1.0","0.989822","0.989822","0.989822","1.0","1.0","1.0","1.0","1.0"
"34.206.49.201","","1","0","","","","0.986397","0.986397","0.986397","0","","","",""
"129.7.128.189","","1","0","","","","0.864724","0.864724","0.864724","0","","","",""
"13.32.181.77","","1","0","","","","0.729156","0.729156","0.729156","0","","","",""
"99.84.218.36","","1","0","","","","0.997432","0.997432","0.997432","0","","","",""
"104.192.108.134","1","1","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0"
"129.21.171.72","","1","0","","","","0.820533","0.820533","0.820533","0","","","",""
"198.128.151.17","","1","0","","","","0.520011","0.520011","0.520011","0","","","",""
"5.62.44.238","","1","0","","","","0.998527","0.998527","0.998527","0","","","",""
"104.21.19.167","","1","0","","","","0.374054","0.374054","0.374054","0","","","",""
"58.215.158.238","","1","0","","","","0.982301","0.982301","0.982301","0","","","",""
"172.217.5.234","","1","0","","","","0.999608","0.999608","0.999608","0","","","",""
"147.0.119.147","","1","0","","","","0.0","0.0","0.0","0","","","",""
"18.206.109.10","","1","0","","","","0.0","0.0","0.0","0","","","",""
"23.221.75.154","","1","0","","","","0.901122","0.901122","0.901122","0","","","",""
"104.104.90.50","","1","0","","","","0.0","0.0","0.0","0","","","",""
"23.54.187.27","","1","0","","","","0.817399","0.817399","0.817399","0","","","",""
"51.75.78.103","1","1","1.0","1.0","1.0","1.0","0.785632","0.785632","0.785632","1.0","1.0","1.0","1.0","1.0"
"99.86.186.18","","1","0","","","","0.0","0.0","0.0","0","","","",""
"192.184.68.216","","1","0","","","","0.98508","0.98508","0.98508","0","","","",""
"99.84.98.54","","1","0","","","","0.987426","0.987426","0.987426","0","","","",""
"206.124.13.171","","1","0","","","","0.867957","0.867957","0.867957","0","","","",""
"52.218.204.243","","1","0","","","","0.955025","0.955025","0.955025","0","","","",""
"23.221.72.43","","1","0","","","","0.924531","0.924531","0.924531","0","","","",""
"172.64.172.12","","1","0","","","","0.995706","0.995706","0.995706","0","","","",""
"172.67.144.164","","1","0","","","","0.831493","0.831493","0.831493","0","","","",""
"128.135.20.9","","1","0","","","","0.840967","0.840967","0.840967","0","","","",""
"118.26.120.3","","1","0","","","","0.973338","0.973338","0.973338","0","","","",""
