"domain","cntMalFQDNs","cntIP","cntFQDN","sumMalEng","maxMalEng","avgMalEng","minMalEng","maxCisco","minCisco","avgCisco","sumMal","maxMal","minMal","avgMal"
"steamstatic.com","","1","1","0","","","","0.99752","0.99752","0.99752","0","","",""
"cloudfront.net","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"p-cdn.us","","2","2","0","","","","0.991319","0.990054","0.9906865","0","","",""
"p-cdn.us","","2","2","0","","","","0.991319","0.990054","0.9906865","0","","",""
"netease.com","","2","2","0","","","","0.929939","0.792121","0.86103","0","","",""
"netease.com","","2","2","0","","","","0.929939","0.792121","0.86103","0","","",""
"acronis.com","1","1","1","1","1","1.0","1","0.935503","0.935503","0.935503","1.0","1.0","1.0","1.0"
"wechat.com","","1","1","0","","","","0.99267","0.99267","0.99267","0","","",""
"vectorworks.net","","1","1","0","","","","0.64894","0.64894","0.64894","0","","",""
"pnl.gov","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"monosnap.com","","1","1","0","","","","0.484833","0.484833","0.484833","0","","",""
"baidu.com","","1","1","0","","","","0.987324","0.987324","0.987324","0","","",""
"omnicell.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"mlb.am","","1","1","0","","","","0.667674","0.667674","0.667674","0","","",""
"lelux.fi","","1","1","0","","","","0.954701","0.954701","0.954701","0","","",""
"livingearthapp.com","","1","1","0","","","","0.265956","0.265956","0.265956","0","","",""
"actiontec.com","","1","1","0","","","","0.613396","0.613396","0.613396","0","","",""
"iBoot.co","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"365retailmarkets.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"cqttech.com","","1","1","0","","","","0.355134","0.355134","0.355134","0","","",""
"ette.biz","","1","1","0","","","","0.810775","0.810775","0.810775","0","","",""
"mmstat.com","","1","1","0","","","","0.995501","0.995501","0.995501","0","","",""
"siriusxm.com","","1","1","0","","","","0.937486","0.937486","0.937486","0","","",""
"amazonaws.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"amazon.com","","1","1","0","","","","0.980074","0.980074","0.980074","0","","",""
"zhhainiao.com","","1","1","0","","","","0.981222","0.981222","0.981222","0","","",""
"google.com","","1","1","0","","","","1.0","1.0","1.0","0","","",""
"360.cn","","4","4","0","","","","0.990587","0.969484","0.985171","0","","",""
"360.cn","","4","4","0","","","","0.990587","0.969484","0.985171","0","","",""
"360.cn","","4","4","0","","","","0.990587","0.969484","0.985171","0","","",""
"360.cn","","4","4","0","","","","0.990587","0.969484","0.985171","0","","",""
"chinadaily.com.cn","","1","1","0","","","","0.744137","0.744137","0.744137","0","","",""
"sophosxl.net","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"wunderground.com","","1","1","0","","","","0.803473","0.803473","0.803473","0","","",""
"teamsnap.com","","1","1","0","","","","0.958885","0.958885","0.958885","0","","",""
"2345.cc","1","2","2","1","1","1.0","1","0.972457","0.949899","0.9611780000000001","1.0","1.0","1.0","1.0"
"2345.cc","1","2","2","1","1","1.0","1","0.972457","0.949899","0.9611780000000001","1.0","1.0","1.0","1.0"
"powerschool.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"xboxlive.com","","1","1","0","","","","0.978719","0.978719","0.978719","0","","",""
"appspot.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"bittorrent.com","","1","1","0","","","","0.990662","0.990662","0.990662","0","","",""
"gvt1.com","","1","1","0","","","","0.383701","0.383701","0.383701","0","","",""
"horosproject.org","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"fireflyva.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"geforce.com","","1","1","0","","","","0.99616","0.99616","0.99616","0","","",""
"bricksball.com","","1","1","0","","","","0.795711","0.795711","0.795711","0","","",""
"datto.com","","1","1","0","","","","0.831702","0.831702","0.831702","0","","",""
"110.43.89.12","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"wpscdn.com","1","2","2","1","1","1.0","1","0.9922","0.987444","0.989822","1.0","1.0","1.0","1.0"
"wpscdn.com","1","2","2","1","1","1.0","1","0.9922","0.987444","0.989822","1.0","1.0","1.0","1.0"
"winzip.com","","1","1","0","","","","0.986397","0.986397","0.986397","0","","",""
"uh.edu","","1","1","0","","","","0.864724","0.864724","0.864724","0","","",""
"puppetlabs.com","","1","1","0","","","","0.729156","0.729156","0.729156","0","","",""
"adsrvr.org","","1","1","0","","","","0.997432","0.997432","0.997432","0","","",""
"104.192.108.134","1","1","1","1","1","1.0","1","0.0","0.0","0.0","1.0","1.0","1.0","1.0"
"rit.edu","","1","1","0","","","","0.820533","0.820533","0.820533","0","","",""
"es.net","","1","1","0","","","","0.520011","0.520011","0.520011","0","","",""
"avast.com","","1","1","0","","","","0.998527","0.998527","0.998527","0","","",""
"annals.org","","1","1","0","","","","0.374054","0.374054","0.374054","0","","",""
"wpscdn.cn","","1","1","0","","","","0.982301","0.982301","0.982301","0","","",""
"googleapis.com","","1","1","0","","","","0.999608","0.999608","0.999608","0","","",""
"203.205.219.244","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"bondtech.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"omtrdc.net","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"wayfair.com","","1","1","0","","","","0.901122","0.901122","0.901122","0","","",""
"104.104.90.50","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"geotrust.com","","1","1","0","","","","0.817399","0.817399","0.817399","0","","",""
"ipv6-test.com","1","1","1","1","1","1.0","1","0.785632","0.785632","0.785632","1.0","1.0","1.0","1.0"
"nejm.org","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"quantserve.com","","1","1","0","","","","0.98508","0.98508","0.98508","0","","",""
"lolesports.com","","1","1","0","","","","0.987426","0.987426","0.987426","0","","",""
"forethought.net","","1","1","0","","","","0.867957","0.867957","0.867957","0","","",""
"print-screen.us","","1","1","0","","","","0.955025","0.955025","0.955025","0","","",""
"avcdn.net","","1","1","0","","","","0.924531","0.924531","0.924531","0","","",""
"siteimproveanalytics.com","","1","1","0","","","","0.995706","0.995706","0.995706","0","","",""
"gamepk.us","","1","1","0","","","","0.831493","0.831493","0.831493","0","","",""
"uchicago.edu","","1","1","0","","","","0.840967","0.840967","0.840967","0","","",""
"iqiyi.com","","1","1","0","","","","0.973338","0.973338","0.973338","0","","",""
